,title,visite,href
0,채널 삭제 공약 걸겠습니다. 재방문율 90% 배달의민족 리뷰 300개 all 별 5개 삼겹살집,조회수 267만회,https://www.youtube.com/watch?v=gpLGqVIc09E
1,[ENG] 현주엽도 처음 맛본 정식 수입 최고급 '호주 와규'! 대체 어떤 맛? (경기 광주 맛집),조회수 179만회,https://www.youtube.com/watch?v=G5HtgcRZJwE
2,광주맛집은 웬만한 손맛 아니면 다 망한다고? 팩트체크하고 옴! l 택시기사님+현지인 추천 받고 간 다복천/유진정/나주곰탕 l 여미슐랭 1화,조회수 69만회,https://www.youtube.com/watch?v=Bt_vndPXZMU
3,내가 생각하는 광주 맛집 1위 #shorts,조회수 57만회,https://www.youtube.com/shorts/yjnwuG2w3M4
4,식사시간 전에 보면 안되는 리얼 광주 밥집들 7곳! (feat. 백반위크),조회수 45만회,https://www.youtube.com/watch?v=Ukv6VRjD8s0
5,광주가서 안 먹었으면 땅을 치고 후회 할 뻔한 택시기사님 추천 광주맛집 koreafoodmukbang,조회수 31만회,https://www.youtube.com/watch?v=mphKrcPkhUU
6,위大한 당신을 위하여! 해산물 무한리필_광주맛집,조회수 24만회,https://www.youtube.com/watch?v=bThxuzb-IuM
7,서울 진출하면 초대박 날 것 같은 광주 맛집 BEST 4 ㅣ 소주 콸콸 술집부터 마무리 특별한 해장까지! 완벽 정리!,조회수 22만회,https://www.youtube.com/watch?v=74XIqpb5Es0
8,"[#모아봤zip] 광주 맛집 총정리🔔 음식은 역시 전라도다 ㅇㅈ? 쫄깃쫄깃한 생고기부터 뜨끈한 나주곰탕까지! 편집하는 내내 배고파서 괴로웠음,, | #서울촌놈 #Diggle",조회수 19만회,https://www.youtube.com/watch?v=7lufbpz8BgQ
9,"[광주 맛집] 감히 이 분야에서 전국 최고라고 말하고 싶습니다. 이것은 치킨인가, 작품인가, 요리인가? 광주 뽀뽀통닭. 광주광역시 현지인 추천 진짜 맛집 광주 찐 맛집",조회수 17만회,https://www.youtube.com/watch?v=T32cjA1W-fQ
10,[맛집탐방] 재방문 의사 100% 식당을 소개 합니다 l 광주 맛집 l,조회수 16만회,https://www.youtube.com/watch?v=fGJSXqAmzGM
11,"전라도 토박이가 뽑은 전라도, 남도 음식 맛집 베스트 3 (이거 ㅇㅈ?! 어 ㅇㅈ!!) 광주 근교 맛집, 맛의 본고장 담양, 목포 맛집",조회수 13만회,https://www.youtube.com/watch?v=gb9bUqZ90u4
12,광주맛집 해남식당,조회수 10만회,https://www.youtube.com/watch?v=5SwRRncm-54
13,3년 간 광주광역시 맛집 유튜브 채널 운영하면서 알게된 찐 광주 맛집 TOP 5 / 광주 현지인이 알려주는 광주맛집.,조회수 9.5만회,https://www.youtube.com/watch?v=WDZB7CBuNBg
14,[#하이라이트#] 로컬은 다 아는 찐맛집만 모았다! 광주 먹방코스 대공개★ | 서울촌놈 Hometown Flex EP.4,조회수 9만회,https://www.youtube.com/watch?v=cuyKFb7OGfQ
15,뷔페야?? 이런 미친 백반은 정말 처음 봅니다. 가격 보면 더 미쳐!,조회수 8.7만회,https://www.youtube.com/watch?v=HPkyJf9U5R8
16,[맛집탐방] 맛의 고장 전라도의 맛있는 식당들을 소개합니다,조회수 6.1만회,https://www.youtube.com/watch?v=M5yaX7kqcMw
17,광주 충장로 투어~~ 맛집 + 케이팝 스타의 거리 체험! Touring around Gwangju + Kpop Star Road(??),조회수 5.3만회,https://www.youtube.com/watch?v=jIdKPXUqSRs
18,현지인만 아는 광주 맛집 BEST 3 | 허벌~나게 맛있는 곳만 모아봤당께~,조회수 5만회,https://www.youtube.com/watch?v=5xVScabw9ZU
19,"[광주 맛집] 한우 무한리필, 어덯게 먹엉야 진리인지 보여드리겠습니다. 광주맛집 일품한우, 광산구 맛집 신창동맛집 한우 맛집 광주 한우 광주 한우 추천 광주 맛집 추천",조회수 4.7만회,https://www.youtube.com/watch?v=1QZ0wzk54yE
20,"광주 맛집 6 | 아이와 여행 BEST 1 | 빙수와 생망고주스가 유명한 카페, 건강한 빵집, 국립광주과학관 | 동명양과자점 | 매월농원 | 국산민물장어",조회수 3.8만회,https://www.youtube.com/watch?v=kHFGqZTJvyU
21,"🌟광주는 처음입니다만🌟광주의 맛집들, 그리고 5.18 기념 공원",조회수 3.7만회,https://www.youtube.com/watch?v=kB7Ol65a_aw
22,[광주 맛집 TOP 5] 2탄!! 200곳이 넘는 맛집을 촬영하면서 단골이 되어버린 숨은 찐맛집들 리스트 / 광주 현지인이 알려주는 광주맛집 / 광주 여행,조회수 3.6만회,https://www.youtube.com/watch?v=3h5IYHG21VE
23,[2월결산] 광주 맛있었던 가성비 맛집 5군데 ㅣ광주 ㅣ 맛집탐방,조회수 3.4만회,https://www.youtube.com/watch?v=a2T92jMZ9oQ
24,[맛집탐방] 오랜기간 사랑받은 중식노포 식당들 ㅣ광주맛집,조회수 3.3만회,https://www.youtube.com/watch?v=AizYjO9ftvY
25,광주 맛집 '영창식당' 오로지 불고기 백반!!,조회수 3.3만회,https://www.youtube.com/watch?v=EvH3bJaMHfo
26,만원 이하!! 광주 반찬 많은 백반맛집 TOP5,조회수 3.2만회,https://www.youtube.com/watch?v=0TmKmFv1HpI
27,[광주맛집] 양푼 갈비찜 💥 한번가면 계속 가는 로컬 맛집,조회수 3.1만회,https://www.youtube.com/watch?v=HzGhpMN6glA
28,☆☆인테리어 공사중이라고합니다☆☆ [광주맛집] [북구 삼각동]너무 바뀌었다는 그곳 다시 가봤습니다 사장님은 찐입니다~!!,조회수 3.1만회,https://www.youtube.com/watch?v=mBcPB4zVPas
29,[광주맛집] 광주1% 찐맛집 다녀왔다!!,조회수 3.1만회,https://www.youtube.com/watch?v=WY_BFP4NZ7I
30,최소 60년 이상!! 광주노포맛집 TOP5,조회수 3만회,https://www.youtube.com/watch?v=FS91c8aXbvQ
31,[3월결산] 광주 맛있게 먹었던 맛집 6군데 모아봤습니다 ㅣ광주ㅣ맛집탐방,조회수 2.8만회,https://www.youtube.com/watch?v=0JxMNiL0s_Y
32,066 영발원 (광주 북구) 중식맛집 짬뽕맛집 리뷰 feat. 열도지 (광주 동구) by 키다리짬뽕아저씨,조회수 2.6만회,https://www.youtube.com/watch?v=HphkC2cGdy4
