,title,visite,href
0,눈과 귀가 즐거운!! 랜선으로 떠나는 대구 서문시장 길거리음식 몰아보기 BEST 11 l Amazing Korean Market Street Food Compilation,조회수 456만회,https://www.youtube.com/watch?v=5jIG-_TGSNE
1,비쥬얼 끝판왕! 택배로 대박난 수제 레인보우 베이글 / 대구 맛집 / Korean street food,조회수 312만회,https://www.youtube.com/watch?v=UsQp-v7-UHM
2,"[대구 맛집] 야식의 성지 '팔달포차' / 토스트, 라면, 우동, 콩국 / 팔달신시장",조회수 172만회,https://www.youtube.com/watch?v=5qJZ6xOGXsc
3,보기만 해도 행복한~ 수제 도넛에 다양한 크림 채우기 / 대구맛집 / Korean street food,조회수 158만회,https://www.youtube.com/watch?v=wjThN5FUSYM
4,대구먹로드! 맛집은 민경장군만 따라오세요💪 맛.집.뿌.수.기🔥(+데일리 립💄 공개!),조회수 55만회,https://www.youtube.com/watch?v=AjXZ61g4C_g
5,"[중화비빔밥편] 대구 맛집투어 첫번째 먹방 브이로그 (엽떡, 중화비빔밥, 따로국밥, 떡볶이) Mukbang Vlog",조회수 43만회,https://www.youtube.com/watch?v=LL2xFO0ZmVg
6,대구에 와서 하루 식비만 50만원 쓴날.. 1차 2차 3차까지! 갈때까지 간다! 진짜.. 저 믿고 가보세요! korean mukbang eating show 히밥,조회수 43만회,https://www.youtube.com/watch?v=OcSF0TBV8m4
7,삼겹살 끝판왕 통보리숙성 [대구 맛집],조회수 39만회,https://www.youtube.com/watch?v=VbxgbnQlLnI
8,2020년 연말 결산 대구맛집 TOP 10. 올 한해 정말 감사드립니다.,조회수 34만회,https://www.youtube.com/watch?v=_-05eZTmy_k
9,"[대구 맛집] 오징어, 고추, 고구마, 김말이 튀김, 떡볶이, 순대까지 / 불로 5일장 분식집",조회수 32만회,https://www.youtube.com/watch?v=egtzgKAFm08
10,"대구가면 뭘 먹지? 오직 대구에서만 맛 볼 수있는 맛집, 길거리 음식, 시장 음식 Best Korean Food, korean Street food",조회수 28만회,https://www.youtube.com/watch?v=tCIEtbqKsFs
11,🚂햇도시락 대구 먹방 여행 ep.1 ) 드디어 줄.서.서✨인생맛집✨뿌셨다 아이가~?! 신라식당 낙지볶음+르폴뒤 과일타르트+진해숯불막창,조회수 28만회,https://www.youtube.com/watch?v=WHPiBbd3fpc
12,"대구 맛집의 완벽한 재해석, 본도시락 가을 신메뉴 출시!!",조회수 26만회,https://www.youtube.com/watch?v=3U7-Vr-yiRw
13,대구 맛집 가성비 끝판왕 BEST 7 [맛집 유튜버 선정 2020 최종 결산],조회수 24만회,https://www.youtube.com/watch?v=R3Y37SO4VMU
14,내가 뽑은 2020년 상반기 대구 맛집 TOP 5.,조회수 21만회,https://www.youtube.com/watch?v=DpSHW9064rI
15,2019년 결산. 내가 뽑은 대구 맛집 탑10. 설맞이 맛집 소개서.,조회수 20만회,https://www.youtube.com/watch?v=vngLRXkFx4c
16,무조건 알아야할 대구 맛집. 비가 오고 바람이 불어도 줄서서 먹는 대구 소고기집 박현지토종한우.,조회수 19만회,https://www.youtube.com/watch?v=6IyKapRAmGY
17,대구 달서구 맛집 베스트. 이 영상을 보셨다면 이제 가시면 됩니다.,조회수 18만회,https://www.youtube.com/watch?v=AK6YiNpXFgc
18,34년 차 대구 토박이가 알려주는 대구 가성비 찐 맛집,조회수 16만회,https://www.youtube.com/watch?v=wFNyaUtqoH4
19,이게 다 무한리필인가요? 대구 최고가 뷔페에 다녀왔습니다.,조회수 15만회,https://www.youtube.com/watch?v=9Q73ogW8vBs
20,[아직 못 가본] 2020 #대구수성구맛집 LIST (#대구맛집),조회수 13만회,https://www.youtube.com/watch?v=eObK0eMf1FY
21,"“새벽까지 하루 500그릇 팔리는? 대구명물 찹쌀 콩국, 계란 토스트” 오픈 두달만에 대박난 대구 맛집 Soybean soup, korean street food",조회수 11만회,https://www.youtube.com/watch?v=teS8DoWz1bk
22,🔥대구맛집🔥미친뷔페 6천원 가성비 끝장 대구분이시면 꼭 한번 가봐야 할 곳입니다,조회수 10만회,https://www.youtube.com/watch?v=VyYumZTPziI
23,"대구토박이가 추천하는 대구맛집베스트4탄, 대구달서구편/대구달서구맛집/대구맛집탐방/대구맛집투어/대구맛집추천/대구숨은맛집/대구노포맛집/",조회수 10만회,https://www.youtube.com/watch?v=3zcloyfcS6Q
24,대구맛집ㅣ메뉴는 잔치국수 딱 하나! 이 집도 모르는게 손해! 배가 빵 터짐ㅋㅣ북구맛집.북구청맛집 국수마을,조회수 10만회,https://www.youtube.com/watch?v=_CcENj77_M0
25,원육선별에 미친 육가공이 고깃집을 차리면 생기는 일 [대구맛집],조회수 10만회,https://www.youtube.com/watch?v=Yu_8MNTbR-Y
26,[아직 못 가본] 2020 #대구북구맛집 LIST (#대구맛집),조회수 9.2만회,https://www.youtube.com/watch?v=I-fBHBYwXD0
27,"대구맛집/어마무시한 양과 맛의 돼지국밥, 대박국밥집/Delicious Pork Soup/Súp thịt lợn ngon/ซุปหมูอร่อย/Вкусный суп из свинин",조회수 8.2만회,https://www.youtube.com/watch?v=sxH-8fAzWrs
28,"혼자만 알고 싶어서 고민 많이 했습니다... 최고의 야키니쿠 전문점 킨슈, 대구맛집",조회수 7.7만회,https://www.youtube.com/watch?v=XTANpoc6fho
29,[대구맛집]아무거나 고르세요 1000원 입니다. 맛도 멋집니다 동성로 줄서서 먹는 진미찌짐 | 반월당 염매시장 | 길거리음식,조회수 7.7만회,https://www.youtube.com/watch?v=kmWCyxXb8LQ
30,[로드뷰인대구] 세상 HIP한 교동🤸‍♀️,조회수 7.3만회,https://www.youtube.com/watch?v=IYPkyT1M4ts
31,먹는게 아까울 지경입니다. 말로는 설명할 수 없는 최고의 술집.,조회수 6.8만회,https://www.youtube.com/watch?v=9gMLy4xtwXM
32,"대구토박이가 추천하는 대구맛집베스트2탄, 대구중구편/대구중구맛집/대구맛집탐방/대구맛집투어/대구맛집추천/대구숨은맛집/대구노포맛집/",조회수 6.7만회,https://www.youtube.com/watch?v=aSpjB2MWG3Y
33,[아직 못 가본] 2020 #대구동구맛집 LIST (#대구맛집),조회수 6.5만회,https://www.youtube.com/watch?v=vt7tcyeoq8g
34,[VLOG] 대구 여행 전 꼭 보세요 | 대구 맛집 뿌시기! |,조회수 6.3만회,https://www.youtube.com/watch?v=fs_kRgUlbKY
35,고르느라 정말 힘들었습니다. 대구 수성구 맛집 베스트.,조회수 6.3만회,https://www.youtube.com/watch?v=NMeHyUanMfY
36,"대구맛집/칠곡맛집/식객 허영만의 백반기행 소고기국밥, 화개장터가마솥국밥/Delicious Beef Soup/Súp thịt bò ngon/ซุปเนื้ออร่อย/노포맛집",조회수 5.9만회,https://www.youtube.com/watch?v=jpOhtcHnJXg
