,title,visite,href
0,노잼 도시 대전에서 유잼 쥐어짜기 / 14F,조회수 77만회,https://www.youtube.com/watch?v=sdsteyoLb1Y
1,대전역 맛집투어. 기차여행 하루코스. 대전 식도락 여행. daejeon tour,조회수 38만회,https://www.youtube.com/watch?v=QtYfHlaaGb4
2,[특별편] 믿기 힘든 가격의 한우 육사시미! 전국에서 몰려오는 소고기 징하게 많이 주는 국밥집,조회수 23만회,https://www.youtube.com/watch?v=F0R0Q5rketY
3,"[특별편] 회를 산더미로 쌓아서 주는 30년 업력의 살발한 횟집, 손님들 미어터지는 찐 로컬 맛집에 다녀왔습니다.",조회수 19만회,https://www.youtube.com/watch?v=Iv1jxcatUpc
4,매일 밤12시에 예약 가능한 갓성비 이자카야에 다녀왔습니다!,조회수 14만회,https://www.youtube.com/watch?v=hjEChSmIdvM
5,"대전 원도심 맛집 총정리, 여기만 가도 대전 맛집 다 가봤다고 할 수 있는 곳!",조회수 13만회,https://www.youtube.com/watch?v=IYu9iDSGwy8
6,ENG) YeLim vlog 보령 머드축제 (#대천해수욕장 #대전여행 #대전맛집 #한화이글스),조회수 13만회,https://www.youtube.com/watch?v=Aiq5rsuOOHE
7,현지인 추천 대전 맛집 | 2019 Summer Vacation,조회수 12만회,https://www.youtube.com/watch?v=lmts9qIzXJs
8,웬만큼 시켜서는 돈쭐 내기 힘든 가성비 맛집,조회수 11만회,https://www.youtube.com/watch?v=NVnacADoGRc
9,대전 동구주민이 알려준 맛집 TOP3,조회수 11만회,https://www.youtube.com/watch?v=VuyklZgQ0-U
10,대전 다녀왔습니다 근데 이제 노잼을 곁들인 (Ep.14 대전 데이트코스),조회수 11만회,https://www.youtube.com/watch?v=WD8hstooM-8
11,정신줄 놓고 기차 놓칠뻔 했던 이유 / 연탄불고기 / 직화구이 / 양념 석쇠구이 [맛있겠다 Yummy],조회수 9.6만회,https://www.youtube.com/watch?v=g6kURo9KrZo
12,대전맛집 사대천왕,조회수 9.4만회,https://www.youtube.com/watch?v=-9cSVlmXWAI
13,"대전 여행 브이로그) 대전 노잼도시 탈피하자!! ( 성심당 거리 빵추천, 대전역 근방 맛집, 소제동 카페거리, 신세계백화점, 엑스포 거리 등)",조회수 8.4만회,https://www.youtube.com/watch?v=7cLLtgtDWaM
14,감탄사 절로 나오는 대전 유명 맛집 투어 [폼나게 가자 내멋대로 8회],조회수 8만회,https://www.youtube.com/watch?v=smo18MON-H0
15,(대전맛집) 착하고 실속있는 음식점 Best 11,조회수 7.5만회,https://www.youtube.com/watch?v=IySLF6gbNp4
