,title,visite,href
0,부산의 맛은 한차원 더 깊습니다. 부산맛집,조회수 111만회,https://www.youtube.com/watch?v=-005hhPMgXQ
1,절대 공개하면 안되는 부산의 미친식당 TOP4 !,조회수 109만회,https://www.youtube.com/watch?v=NvBFol5Uo6Y
2,40년 부산 토박이가 추천해준 부산 맛집. 진짜 인생 맛집 발견,조회수 106만회,https://www.youtube.com/watch?v=NXAEZN6sy4Q
3,부산 1등 최애 한우집 여긴 꼭 가봐야합니다.,조회수 106만회,https://www.youtube.com/watch?v=J_FNAAez8-c
4,"[오늘 뭐 먹지?] 12시간동안 부산에서 8끼 먹방하기,,자는시간빼고 먹기만 한 폭식 VLOG (재업로드)",조회수 105만회,https://www.youtube.com/watch?v=WKmCq6i_dKw
5,부산 토박이 시민들이 뽑은 돼지국밥 1위 맛집!,조회수 91만회,https://www.youtube.com/watch?v=3O-ja5yUA34
6,[부산맛집] 단돈 천원! 달걀만두를 아시나요?,조회수 68만회,https://www.youtube.com/watch?v=Oga7tA42POw
7,부산에서 제가 방문한 식당중 최고였습니다. 부산분들 넘나 부러움... [예약필수],조회수 66만회,https://www.youtube.com/watch?v=7Ol0K-O1dbE
8,가성비 폭발! 소주가 콸콸! 다음날 해장까지! 완벽 코스 부산 맛집 추천 BEST 16 (술에 진심 부산 가볼만한곳!),조회수 64만회,https://www.youtube.com/watch?v=JNrzzjc8n7g
9,부산맛집 디저트끝판왕 도넛 23개 먹방 로투스 누텔라 민트초코 오레오 티라미슈 크림치즈 앙버터 브라우니 솔티드카라멜 크림브륄레 korean mukbang eatingshow,조회수 59만회,https://www.youtube.com/watch?v=MIXocY3L2YY
10,술쟁이가 엄선한 현지인 부산 맛집 추천 BEST 11 (부산 가볼만한곳 ㅣ 부산 여행 ㅣ 여름휴가 ),조회수 56만회,https://www.youtube.com/watch?v=c2IDjYi5Pf8
11,부산 사람들도 예약 못하는 맛집! 만 원에 20가지 반찬을 먹을 수 있는 부산의 해산물 백반한상 / Seafood Baekban of Busan [노중훈의 할매와 밥상 9화],조회수 51만회,https://www.youtube.com/watch?v=pBHZu7rbtMg
12,슈퍼맨이 돌아왔다 The Return of Superman - 건나블리 부산맛집 원기 충전 보양식 먹방!.20190127,조회수 48만회,https://www.youtube.com/watch?v=3_lV_dmPBXU
13,부산여행 왔으면 백종원도 먹고 극찬한 부산맛집 추천 BEST 7 안보면후회,조회수 39만회,https://www.youtube.com/watch?v=wiCvUU5NvFM
14,[깜콩TV]부산 먹방 투어 이보다 맛있을 수 없다ㅣ부산먹방ㅣ서면맛집ㅣ부산맛집ㅣ부산해운대맛집,조회수 39만회,https://www.youtube.com/watch?v=E9RJJ729zPM
15,[부산 맛집] 부산 여행 전 보세요 :) 부산 맛집 BEST 12 | 부산 해운대 맛집 | 부산 맛집 투어 여행 브이로그 먹방 메뉴 리뷰,조회수 39만회,https://www.youtube.com/watch?v=jZntLV5Msuc
16,몹시 기분상했습니다만 /부산 중구 자갈치에서 유명한 포항식당을 가보았습니다.,조회수 37만회,https://www.youtube.com/watch?v=06rEBcFM2NU
17,부산의 3대 돈까스라 카더라. 츄릅로드,조회수 36만회,https://www.youtube.com/watch?v=aZOAeCB8FEw
18,꼭꼭 숨어있는 부산 맛집 추천 BEST 6 l 부산 여행 ㅣ 부산 가볼만한곳 ㅣ 부산 1박2일 코스 ㅣ 여름휴가,조회수 36만회,https://www.youtube.com/watch?v=Egm7Tb4pgcA
19,직원들과 광란의 꿀잼 부산 워크샵😆 부산 롯데월드까지! (+ 부산 맛집 존예 카페 정보 가득),조회수 36만회,https://www.youtube.com/watch?v=lbAm7VaJBp0
20,부산에서 가장 비싼 한우 맛집 해운대 거대갈비 리뷰 I 거대숯불구이,조회수 36만회,https://www.youtube.com/watch?v=fW18Owy68Nc
21,"부산의 축복, 랩24 런치 코스 리뷰",조회수 35만회,https://www.youtube.com/watch?v=YFLFyNIiAWE
22,"[vlog] 핫플만 쏙쏙 골라다녀온 1박2일 부산여행 브이로그🌊💙 : 부산핫플 , 부산감성카페, 부산맛집, 파크하얏트부산,이그제큐티브마리나스위트",조회수 35만회,https://www.youtube.com/watch?v=_im1RKj2ny4
23,"[복학생 vlog] 나홀로 부산여행 브이로그 (해운대 별밤, 게스트하우스 파티, 금성오락실, 광안리 던킨 도너츠, 헌팅, 돼지국밥, 도미토리 4인실, 부산 맛집 추천, 내일로)",조회수 34만회,https://www.youtube.com/watch?v=8kl8iBC7TRg
24,"ENG) 부산여행 1박 2일로 갔다가 2.5kg 찐 썰 푼다 / 부산 맛집,핫플 뿌시기 / 본전돼지국밥,흰여울마을,1인사무소,해성막창,춘하추동밀면,브라켓테이블,네살차이,스스키노",조회수 33만회,https://www.youtube.com/watch?v=HY8DrmEFgNA
25,[특별편] 부산에서 가장 맛있다는 고퀄리티 자연산 횟집에 다녀왔습니다.,조회수 32만회,https://www.youtube.com/watch?v=9voZWjccbKA
