,title,visite,href
0,[ENG] 술🍷술🍺 들어간다 숯불갈비 먹방 [둘이 왔어요 EP4],조회수 145만회,https://www.youtube.com/watch?v=faNy3OYbXSs
1,"[ENG SUB]세종시맛집 ""곱깨비"" 눈꽃치즈곱창 불맛오돌뼈 청양고추 먹방 MUKBANG Stir-fried Beef Tripe 鲜蔬炒牛肠 korean eating show",조회수 89만회,https://www.youtube.com/watch?v=kEHvG4z7rLw
2,"밥상을 통째로 끌고와 밀어내주는 식당, 같이 간 여자분들이 좋아하네요ㅎ",조회수 8.9만회,https://www.youtube.com/watch?v=nqUIptm0esE
3,무려 4대째! 80년간 숨어있던 찐 순대국 맛집! 세종시 부강역 맛집! Sundae-gukbap(Korean sausage and rice soup) [맛있겠다 Yummy],조회수 6.7만회,https://www.youtube.com/watch?v=W4E1S7iu58M
4,세종시 삼겹살 도담동 빽가네 더끄의 맛집,조회수 5.6만회,https://www.youtube.com/watch?v=Dpb2Obyqou0
5,𝐯𝐥𝐨𝐠 봄 데일리룩 🌼 | 봄 아이템 언박싱 | 토즈 | 아식스 | 대전 세종 맛집 카페☕️ | 일주일 데일리룩,조회수 4.5만회,https://www.youtube.com/watch?v=4UwhN4Od68U
6,세종 핫플★ 갈비 먹방 😳 몇인분 먹었을까요?,조회수 4만회,https://www.youtube.com/watch?v=OT9asTSYMKA
7,초향각 세종시 중국집 3대 짜장 이 시국에 사람 너무 많아...,조회수 3.4만회,https://www.youtube.com/watch?v=zjAcnYsop5I
8,말문이 턱! 꽁꽁 숨어있던 돈쭐을 내주어야할 포차! 공개 합니다 korean food (맛기행tv),조회수 3.4만회,https://www.youtube.com/watch?v=P6fmyL9sAtY
9,056 목화반점 (아산시) 탕수육 맛집 리뷰 & 짬뽕리뷰 feat 세종식당 (아산시) by 키다리짬뽕아저씨,조회수 3.3만회,https://www.youtube.com/watch?v=wAk1zABc330
10,"3,900원짜리 세종시 짜장면... 그래서 가봤습니다",조회수 2.6만회,https://www.youtube.com/watch?v=eZmDH3QZKvc
11,실제로 존재하는 밭두렁 가운데 전국 최고의 김치찌개집,조회수 2.5만회,https://www.youtube.com/watch?v=Ynn7PKBQYgs
12,(공주유구맛집)한우암소가 삼겹살보다 싼집. 한우암소 2근 49000원 가성비 최고.50년 정육점 운영.간 천엽.육사시미 서비스,조회수 2.5만회,https://www.youtube.com/watch?v=vj5a5yWi8vo
13,"[세종대학교/Sejong University] 세종대 학생 100명이 뽑아본 ""세종대 맛집 TOP 7"" | 영상보고 달려갈 준비하라구 ( •◡-)✧",조회수 2.4만회,https://www.youtube.com/watch?v=Kf8sWNhVaG4
14,신안골분식 닭떡볶이 - 네이버 세종 맛집 리뷰 1위,조회수 2.4만회,https://www.youtube.com/watch?v=5AyC_xgXk4M
15,일주일 데일리룩 | 여름 데일리룩🍑 | 사실은 먹방 브이로그 | 폴로 | 링서울 | 칼국수 사랑혀 | 대전 세종 맛집 카페,조회수 2.4만회,https://www.youtube.com/watch?v=jgVOqOrgsqk
16,일주일 데일리룩 | 여름과 가을 사이 데일리룩 | 드래곤백 처돌이 | 패브릭포터리 | 대전 세종 맛집 카페 | 일상 브이로그,조회수 2.4만회,https://www.youtube.com/watch?v=Q6QW-wM6aQc
17,세종시 맛집 추천 /조치원 맛집 추천 [먹거리식당]Suggested restaurants in Sejong City,조회수 2.3만회,https://www.youtube.com/watch?v=1gZiJ0Py2tI
18,세종시 가성비좋은 음식점 Hot 9,조회수 2.2만회,https://www.youtube.com/watch?v=RxvQNHQKkwg
19,"N년차 현지인 추천 세종시 핫플레이스ㅣ테라로사, 카페앤리오, 금강수변공원, 세종호수공원, 국립세종도서관",조회수 2.2만회,https://www.youtube.com/watch?v=E9YBuP52qKg
20,【韓国セジョンで日本食ランチ】日韓夫婦/한일부부♡세종 맛집 일식당♡,조회수 2만회,https://www.youtube.com/watch?v=b3karddmhw0
21,"만원의 행복, 대전 세종 가성비 맛집 3종 세트 - 똑소리 생활정보 이수진 2018 0621 아침이 좋다",조회수 1.9만회,https://www.youtube.com/watch?v=Lmilf2TY1n0
22,세종시 피짬뽕.. 이런 짬뽕 좋아하세요?? 세종시 맛집 찌개인가 짬뽕인가.. 한번은 가봐야 할 곳,조회수 1.8만회,https://www.youtube.com/watch?v=l34-TprsDcQ
23,송학식당 김치전골 - 2년 묵은지 김치찌개 세종 맛집,조회수 1.4만회,https://www.youtube.com/watch?v=4Jy9Brnig1Q
24,"남북코스에 숨겨진 맛집거리! "" 세종마을 음식문화거리"" 오늘 내가쏜다!",조회수 1.2만회,https://www.youtube.com/watch?v=ywXQyDA3_nw
25,𝐯𝐥𝐨𝐠 봄 데일리룩 | 그로브 스토어 | 앤니즈 | 르보네어 | 이속우화 | 세종 맛집😋| 하남 데이트 | 슬랙스 코디 | 일주일 데일리룩,조회수 1.1만회,https://www.youtube.com/watch?v=qfxDL4Z7o54
26,이것은 피자인가? 돈가스인가? 줄 서서 먹는 조치원 맛집 '돈스',조회수 1.1만회,https://www.youtube.com/watch?v=oW3YKf_2cB8
27,[널리 맛집] 세종 수목원 가세요? 맛집이랑 카페 알고 가세요! / 세종 수목원 맛집 / 세종 한옥카페 / 세종 수목원 방문팁,조회수 1.1만회,https://www.youtube.com/watch?v=j4pnuKXYtKg
28,세종시 가성비 맛집 - 똑소리 생활정보 이수진 2017 0803 아침이 좋다,조회수 1만회,https://www.youtube.com/watch?v=77bSYzslFP4
29,"[세종시 맛집] 국내산 생장어를 산지직송으로 저렴하게, 장어구이부터 파갈비장어까지 줄 서서 먹는 세종시 장어 맛집 ‘세종풍천장어’",조회수 1만회,https://www.youtube.com/watch?v=MPYVxcbgCK0
30,[핫플]여기는 꼭 가야한다! 옥천 숲속의 호수(맛집) & 세종시 안테커피!,조회수 1만회,https://www.youtube.com/watch?v=F6GAwx8GcTI
31,세종 맛집 리스트 202104,조회수 9천회,https://www.youtube.com/watch?v=0EhHxjw87VQ
32,[세종맛집]30년째하고 있는 돈까스집/몽마르뜨/가족외식추천/대전맛집/경양식돈까스먹방,조회수 9천회,https://www.youtube.com/watch?v=r8MdyxCxvPA
33,세종시맛집 여기 어때? BEST 7,조회수 8.6천회,https://www.youtube.com/watch?v=WYjJ26bzdNQ
34,(세종맛집)하루 500그릇만 파는 뼈해장국의 지존. 후회 없는 맛. 늦게 가면 먹을 수 없는 집.,조회수 8.4천회,https://www.youtube.com/watch?v=9KwxrLoQnTY
35,"[세종대] 너무 많아서 2탄, 3탄 나올 것 같은 식당맛집 많은 군자동!! (우리 동네라는게 자랑스럽네)",조회수 8.3천회,https://www.youtube.com/watch?v=NqoBDFCoBcM
36,[세종맛집] 현지인 단골들이 인정한 버섯전골! 맛과 건강 모두 잡을 수 있는 세종 나성동 맛집 ‘박중사의힘내부대찌개 나성점’,조회수 8천회,https://www.youtube.com/watch?v=U7_XmoLbNvg
37,세종시 최대규모의 전통시장을 가다!,조회수 7.9천회,https://www.youtube.com/watch?v=g3M3VKKIsvA
38,서촌 세종마을 음식문화거리 꼭 가봐야 할 명소 BEST 6 / 훈타민,조회수 7.9천회,https://www.youtube.com/watch?v=BABnRmexQr0
39,조치원 폭식 데이트 💧먹고싶은거 다먹는 세종시 찐맛집 투어 (ft.하늘),조회수 7천회,https://www.youtube.com/watch?v=p_ZAtBW_XnE
40,"세종시 중국집 맛집 어택!! 중국요리가 9,900원....?",조회수 6.7천회,https://www.youtube.com/watch?v=PvDDgePkuVs
41,[여행 브이로그] 세종시x현지인 맛집 트립☆ '이태리가정식'과 '중국인주방장요리' 코스,조회수 6.7천회,https://www.youtube.com/watch?v=oE6z-r09WxI
42,진짜 먹고싶었던 옛날 비후까스 드디어 먹고 왔습니다 29년 전통 경양식레스토랑 세종 맛집 Beef cutlet famous restaurant in korea,조회수 6.6천회,https://www.youtube.com/watch?v=qWPUALKgnyg
43,세종시 순대국밥 맛집 신설집 | 부강 맛집,조회수 5.9천회,https://www.youtube.com/watch?v=6BxpMz_7Udg
44,"세종시 맛집 추천 ( 고운동, 아름동) | 세종사랑방맵 | 자칭미식가",조회수 5.5천회,https://www.youtube.com/watch?v=JjWr_rqvybI
45,"공무원 브이로그 ㅣ 맛집들이 더 많이 생겼으면 좋겠다 , 세종시 일상기록, 운동하고 사람들 만나고 혼자 여유롭게 편집도 하고, Sejong vlog, days in my life",조회수 5.6천회,https://www.youtube.com/watch?v=gukA9Hf4Scs
