,title,visite,href
0,제주여자의 내돈내산 제주도 찐맛집 추천 TOP 20,조회수 229만회,https://www.youtube.com/watch?v=ucI5BvgeWgQ
1,술쟁이가 추천하는 제주도 맛집 무려 TOP 33 (제주도 미식여행의 바이블),조회수 152만회,https://www.youtube.com/watch?v=0asc3wy8_K0
2,홍진경 기절시킨 이영자의 숨겨논 맛집(+해산물 제대로 먹는 법) [공부왕찐천재],조회수 127만회,https://www.youtube.com/watch?v=m5RbAHj_K9U
3,제주도민이 추천하는 내돈내산 제주도 맛집 베스트 20,조회수 119만회,https://www.youtube.com/watch?v=pNUhkkx94j4
4,히밥 vs 홍윤화! 레알 빅매치! 제주 맛집 60인분 뱃속에 때려 넣기! l [택슐랭가이드 EP.6],조회수 108만회,https://www.youtube.com/watch?v=xuDO5nMjoWc
5,제주 동부 추천스팟 70곳 총정리 🌴 관광지 맛집 카페 숙소 책방 소품샵 - 조천 구좌 성산 표선 가볼만한 곳,조회수 66만회,https://www.youtube.com/watch?v=tbLO_Bhjhuw
6,"ENG) 2박3일 알찬 제주도 여행 브이로그 / 여행이라 쓰고 먹방이라 읽는다 / 서귀포, 애월 여행 / 제주 맛집,카페 투어",조회수 60만회,https://www.youtube.com/watch?v=g75NgXwFydM
7,제주 서부 추천스팟 70곳 총정리 🌵 관광지 맛집 카페 숙소 책방 소품샵 - 애월 한림 한경 대정 가볼만한 곳,조회수 60만회,https://www.youtube.com/watch?v=c3ThTZz1DBw
8,제주 보름 살아본 김나영이 추천하는 제주 맛집 & 카페 / 김나영의 노필터 티비,조회수 60만회,https://www.youtube.com/watch?v=eCZ8yjiUyXw
9,제주식당 46곳 가보고 뽑은 가성비 찐맛집 10곳 | 숙소 3곳 | 카페,조회수 55만회,https://www.youtube.com/watch?v=tyNEq_4poGM
10,가장 제주스러운 로컬 맛집 60곳 #1 제주동부편 (제주푸드앤와인페스티벌 선정 맛집) Jeju Island Local Food Restaurants #1 East Area,조회수 52만회,https://www.youtube.com/watch?v=wVZM3cM7nLs
11,"제주도민이 추천하는 제주도 맛집 Best 10, 여긴 놓치지 마세요. (광고x, 협찬x)",조회수 52만회,https://www.youtube.com/watch?v=hSJOaCq4jk0
12,"[Eng]제주에 가족들이 왔어요! 제주맛집, 유명카페☕️ 제주에 적응중!",조회수 48만회,https://www.youtube.com/watch?v=WSpa_szRf6I
13,함께 지도 보며 제주 가볼만한 39곳 빠르게 찍어드림! 볼거리 맛집 핫플 다 넣었어요 (서부편),조회수 43만회,https://www.youtube.com/watch?v=tfuKRUeT4V0
14,가장 제주스러운 로컬 맛집 60곳 #3 제주서부편 (제주푸드앤와인페스티벌 선정 맛집) Jeju Island Local Food Restaurants #3 West Area,조회수 43만회,https://www.youtube.com/watch?v=Bs3t7QEnrJw
15,"[Eng]가족과 함께 혼밥?!...🍛 서쪽, 제주 맛집, 짬뽕, 파스타, 커피, 제주스냅사진, 셀프사진",조회수 42만회,https://www.youtube.com/watch?v=urDm7xjfpgw
16,제주 딱새우의 불편한 진실,조회수 40만회,https://www.youtube.com/watch?v=imnkB7BSsrE
17,제주도 동문시장에서 꼭 먹어야할 맛집들을 소개합니다!,조회수 35만회,https://www.youtube.com/watch?v=4Oqmz-z3MlE
18,(ENG) 중문에 가면 뭐먹을거야? 내가 아는 맛집도 알려줄게!,조회수 35만회,https://www.youtube.com/watch?v=ill4pZ7_iVc
19,지갑 가볍게 여행해요! 제주도민들이 웨이팅하는 최고의 가성비 맛집 3곳 소개합니다,조회수 33만회,https://www.youtube.com/watch?v=5qNsUSeiTUA
20,"Ep3.🍊비와도 괜찮아.. 🤣 제주도 서쪽 맛집, 볼거리 뽀개기 브이로그 | 애월 한담해안산책로, 카페거리, 랜디스도넛, 바다속고등어, 풍차와전복, 금오름 | 먹방 Vlog",조회수 35만회,https://www.youtube.com/watch?v=qymZfKcddis
21,[내돈내먹] 거짓 맛집에 지쳐 내가 정리한 제주 맛집 추천,조회수 31만회,https://www.youtube.com/watch?v=YM0g9pOaxVY
22,관광객은 절대 모르는 제주도민 맛집/카페 모음,조회수 26만회,https://www.youtube.com/watch?v=P4dR53i-kIg
23,제주도 동문시장 야시장 총정리 ver.,조회수 22만회,https://www.youtube.com/watch?v=Yu66NuHHEYc
24,가장 제주스러운 로컬 맛집 60곳 #2 제주시내편 (제주푸드앤와인페스티벌 선정 맛집) Jeju Island Local Food Restaurants #2 City Area,조회수 22만회,https://www.youtube.com/watch?v=dhcu3UzYCtU
25,내돈내먹 제주 맛집10곳 추천! 2주살이하며 고르고 고름!광고1도 없음!,조회수 21만회,https://www.youtube.com/watch?v=1MVYat6Tlvc
26,"내돈내산 직접 가본 제주도 맛집, 제주 이주 4년차 우리가족의 9년째 단골 맛집도 공개!",조회수 21만회,https://www.youtube.com/watch?v=S1q5pnpKTbY
27,[제주도 맛집 베스트 25] 도민이 두번이상 직접 먹어보고 추천하는 제주도 맛집 / 다양한 종류와 테마별 제주도 음식 추천,조회수 20만회,https://www.youtube.com/watch?v=p3PH1KL4AN0
28,제주도의 가장 특별한 고깃집 다섯곳 (흑돼지+백돼지),조회수 20만회,https://www.youtube.com/watch?v=P2TuYpFUlsw
29,제주도 이주 5년 차 도민이 추천하는 제주도의 찐 맛집 14곳,조회수 18만회,https://www.youtube.com/watch?v=5jP0hWMFEcg
