,title,visite,href
0,"대한민국 서울, 경기도 최고의 분식 맛집 BEST 12 몰아보기 / 떡볶이, 순대, 어묵, 튀김 / Tteokbokki Sundae Set - Korean street food",조회수 348만회,https://www.youtube.com/watch?v=mfSiYop28as
1,서울 저렴한 가격?의 한우 오마카세 맛집 리뷰 먹방,조회수 255만회,https://www.youtube.com/shorts/ywER-dt3G5M
2,돼지갈비 보다 싼 절대 실패 없는 소갈비 맛집 BEST 3 이 영상 영혼을 갈았습니다,조회수 185만회,https://www.youtube.com/watch?v=pdR8NoAbd8A
3,"서울 아침식사 조식맛집 BEST 10, 서울에서 맛있는 아침맛집을 찾는다면 바로 여기!",조회수 129만회,https://www.youtube.com/watch?v=LrAn32qmLvc
4,광장시장 100번 가보고 추천하는 숨은 맛집 BEST 7 아무도 안 알려준 핵꿀팁,조회수 110만회,https://www.youtube.com/watch?v=IifkWNwpY_g
5,"20대부터 70대까지 줄 서서 먹는 핫한 식당, 서울에서 가장 유명한 노포 중 하나인 곳, 간판만 봐도 취하는 서울 노포식당 가성비 맛집 [충무로 영덕회식당/필동분식]",조회수 106만회,https://www.youtube.com/watch?v=b2MxuIUkIrM
6,"43년 업력의 오랜 내공을 자랑하는 70대 노부부의 골목 안 숨은 식당, 메뉴판조차 없는 푸근하고 인심 좋은 집, 서울 노포식당 가성비 맛집 [종로 서울식당]",조회수 87만회,https://www.youtube.com/watch?v=jaa_p1XvV_A
7,‘곱창조림’이라고 들어봤어? 서울 맛집 리뷰 먹방,조회수 77만회,https://www.youtube.com/shorts/HQIxmqGsauc
8,서울 주차가능 기사식당 맛집 BEST 10,조회수 67만회,https://www.youtube.com/watch?v=1_7Ptuck0Uk
9,"합정,홍대,신촌 미쉐린가이드 서울2021받은 식당 8곳 후기",조회수 66만회,https://www.youtube.com/watch?v=Zn1nY1XHTc8
10,"서울 냉면 맛집 총 정리 BEST 3 평양냉면, 함흥냉면 논란 종결.",조회수 61만회,https://www.youtube.com/watch?v=FuV8TnvwaEU
11,아니 서울에 이런 횟집이? 랍스타 인당 1만원! 끝없이 나오는 해산물 코스 역대급 살발한 횟집,조회수 58만회,https://www.youtube.com/watch?v=Ai6ODqlYHwo
12,6년간의 술자취 을지로 맛집 베스트 20 단 10분 만에 맛보세요! (노포 힙지로 맛집),조회수 49만회,https://www.youtube.com/watch?v=H4ltRDhQ7Qs
13,미친 서비스가 나오는 서울에서 손님이 제일 많은 30년 된 갈비집,조회수 46만회,https://www.youtube.com/watch?v=PliFTavpTuU
14,한지민 떡볶이 그렇게나 맛있다며? 서울 맛집 리뷰 먹방,조회수 44만회,https://www.youtube.com/shorts/P5RLGu6FeTs
15,[TASTE of SEOUL] 궁중쉐프의 서울맛집 나들이,조회수 40만회,https://www.youtube.com/watch?v=us5EcNcKSIQ
16,"산속에 숨어있는 운치 오져버린 식당, 수십년간 숨어있다 이제서야 난리난 화제의 맛집, 착한 가격의 힐링쩌는 서울 노포식당 가성비 맛집 [북한산 인수재 / 청화가든]",조회수 40만회,https://www.youtube.com/watch?v=_p9eOEKzltU
17,20년 전 가격. 특수부위 미친 가성비! [서울 화곡동 맛집],조회수 40만회,https://www.youtube.com/watch?v=vvsrHhP-7EU
18,여성들에게 고백 받게 만들어주는 완벽한 맛집 리뷰,조회수 40만회,https://www.youtube.com/shorts/TPv05uQd9k8
19,"서울 동묘, 신설동, 용두동 맛집투어 7곳, 동대문구 맛집부수기",조회수 38만회,https://www.youtube.com/watch?v=TO_sY_Dg_2U
20,[QnA] 외식인생 10년차 김사원이 뽑은 올해의 맛집 TOP5를 소개합니다,조회수 37만회,https://www.youtube.com/watch?v=IcMr3c68pYg
21,"서울 최고의 수제비맛집 BEST 10, 한편으로 끝내기",조회수 37만회,https://www.youtube.com/watch?v=-qhQkLuUXs4
22,"남대문시장, 회현역 맛집 한편으로 끝내기 Best 10",조회수 36만회,https://www.youtube.com/watch?v=B2rvzPMbbMY
23,"서울 종로 광장시장 맛집투어 Best 17곳, 한편으로 끝내기",조회수 33만회,https://www.youtube.com/watch?v=c4jI2yfcALA
24,"예약 없이는 못 먹는 35년 넘은 동네 고깃집, 비싼데도 사람이 꽉 차는 집, 서울 노포식당 고기 맛집 [송파 부일갈매기]",조회수 32만회,https://www.youtube.com/watch?v=ok2DPxteoO0
25,기사님 맛집이 진짜맛집,조회수 32만회,https://www.youtube.com/watch?v=pp9DLyAZJWQ
26,"샤로수길, 봉천동, 낙성대 맛집투어 11곳",조회수 31만회,https://www.youtube.com/watch?v=edNDRJC_1Wk
27,현시점 서울에서 가장 핫한 동네! 20대부터 60대까지 모두가 찾는 보물 같은 미친 식당,조회수 30만회,https://www.youtube.com/watch?v=07szvHJocI4
28,"강남역,신논현역 숨겨진 맛집 BEST 10",조회수 30만회,https://www.youtube.com/watch?v=qYK6jpTjvyU
29,CG 이어 선곡 맛집으로 거듭난 SBS 선거방송 그래픽 모음집/ 스브스뉴스,조회수 29만회,https://www.youtube.com/watch?v=mwqxoffl1As
30,갈 때마다 발길을 돌려야 했던 20년 업력의 웨이팅 오지는 동네 찐맛집,조회수 25만회,https://www.youtube.com/watch?v=sincgd7o9YE
31,영등포구 돼지고기 원탑 맞나요? [서울 맛집],조회수 25만회,https://www.youtube.com/watch?v=MUDbUAlnub4
32,"유명한 이유가 있는 서울 1티어 돼지고기 맛집🍖 I 냉장고를 부탁해 송훈 쉐프의 크라운돼지, 신사역 꿉당, 금고깃집 마곡본점",조회수 24만회,https://www.youtube.com/watch?v=DGwFQtvt6RM
33,"광화문 직장인맛집 Best 10곳, 광화문 점심메뉴 한방에 끝내기",조회수 24만회,https://www.youtube.com/watch?v=A5gpeiUP1dE
34,[한국오빠]믿고 가는 이영자 추천 서울 맛집 10곳 완벽정리 (배고픔주의),조회수 24만회,https://www.youtube.com/watch?v=Dav8BVt6nH8
35,"동네를 평정해버린 대박난 튀김 맛집, 살면서 이런 튀김은 처음! 가성비 쩌는 옹골찬 텐동집",조회수 20만회,https://www.youtube.com/watch?v=shaXqy58oCo
36,서울 가성비 맛집 베스트 5 #12,조회수 19만회,https://www.youtube.com/watch?v=NPQfj4latPY
37,서울에서 가장 오래된 식당 top10,조회수 18만회,https://www.youtube.com/watch?v=bMITNVOjPlo
38,"서울역광장 맛집 8곳투어, 직장인맛집부터 인기맛집까지!",조회수 17만회,https://www.youtube.com/watch?v=k1CPTHkplcs
39,인스타 맛집 싹 빼버린 성수동 찐맛집만 알려드림,조회수 15만회,https://www.youtube.com/watch?v=IwXs40_6gio
40,"귀국VLOG |2년만에 서울! |맛집&쇼핑 |명동교자,한끼만두,교촌치킨,명륜진사갈비 |명동, 홍대, 인천 송도",조회수 14만회,https://www.youtube.com/watch?v=s9AvzyjFuSU
41,요즘 날씨에 반드시 가야하는 서울 야외 야장 술집 맛집 BEST 10 ㅣ 술쟁이가 엄선한 분위기 미치고 술이 콸콸!,조회수 14만회,https://www.youtube.com/watch?v=jAO3yPw89tI
42,아직도 여기를 안가봤다고?? 서울가면 꼭 가야되는 맛집 추천!,조회수 13만회,https://www.youtube.com/watch?v=rKquwXtkj3Q
43,서울에서 가장 핫한 베스트 5 고기집 알려드립니다 About the 5 most trending Korean BBQ,조회수 12만회,https://www.youtube.com/watch?v=ML1CD589cY0
